Naziv	Broj korisnika	Lon	Lat
DSLAM-267	312	15,0498	45,1954
DSLAM-268	101	14,3104	45,3094
DSLAM-269	137	14,8034	45,224
DSLAM-270	351	14,8418	45,3704
DSLAM-271	374	14,9857	45,3829
DSLAM-272	50	14,372	45,2073
DSLAM-273	393	14,4888	45,3836
DSLAM-274	94	14,5651	44,9459
DSLAM-275	231	14,7426	45,0826
DSLAM-276	45	14,8719	45,3616
DSLAM-277	282	14,8612	45,2664
DSLAM-278	395	14,3002	45,2407
DSLAM-279	130	14,5984	45,196
DSLAM-280	326	14,763	45,1427
DSLAM-281	331	14,3736	45,2568
DSLAM-282	361	14,741	45,245
DSLAM-283	222	14,6781	45,0861
DSLAM-284	397	14,3229	45,3139
DSLAM-285	137	15,0719	45,12
DSLAM-286	97	14,6175	45,0433
DSLAM-287	298	14,3809	45,2679
DSLAM-288	219	14,5955	45,384
DSLAM-289	195	14,3596	45,5527
DSLAM-290	192	14,8742	45,1966
DSLAM-291	169	14,5503	45,3293
DSLAM-292	126	15,1064	45,4941
DSLAM-293	260	14,5334	44,7599
DSLAM-294	375	14,2577	45,1985
DSLAM-295	82	14,4272	45,4178
DSLAM-296	209	14,6571	45,5603
DSLAM-297	222	14,9065	45,0922
DSLAM-298	361	14,3719	45,4634
DSLAM-299	175	15,8297	46,1661
DSLAM-300	76	16,249	45,9533
DSLAM-301	286	16,0668	46,0605
DSLAM-302	190	15,7277	46,0931
DSLAM-303	170	15,8994	46,0829
DSLAM-304	196	14,4438	44,5619
DSLAM-305	126	14,3925	44,9691
DSLAM-306	89	14,7205	45,2708
DSLAM-307	340	14,4889	45,3897
DSLAM-308	399	14,6681	44,8499
DSLAM-309	233	14,9014	45,1971
DSLAM-310	320	14,7003	45,1224
DSLAM-311	336	14,4632	44,8196
DSLAM-312	265	14,2007	45,2717
DSLAM-313	172	14,2488	45,4541
DSLAM-314	388	14,3131	45,3379
DSLAM-315	110	14,7971	45,1777
DSLAM-316	130	15,2413	45,4281
DSLAM-317	221	14,4988	45,2725
DSLAM-318	319	13,652	45,0496
DSLAM-319	82	13,9151	44,9335
DSLAM-320	214	14,0974	44,8655
DSLAM-321	258	13,6383	45,4323
DSLAM-322	330	13,7392	44,7073
DSLAM-323	322	13,7497	44,9408
DSLAM-324	319	13,7049	45,298
DSLAM-325	399	13,8473	45,3748
DSLAM-326	204	13,8872	45,4799
DSLAM-327	373	13,6778	44,9851
DSLAM-328	42	14,316	45,3077
DSLAM-329	304	14,1096	45,2655
DSLAM-330	257	13,7118	45,0766
DSLAM-331	249	13,4463	45,2245
DSLAM-332	314	14,0527	44,9238
DSLAM-333	180	13,9823	45,1268
DSLAM-334	117	13,9711	45,0416
DSLAM-335	344	13,7314	45,0317
DSLAM-336	223	14,1265	44,9355
DSLAM-337	335	13,6657	44,8155
DSLAM-338	221	13,9958	45,5788
DSLAM-339	103	14,2671	45,1896
DSLAM-340	270	13,6681	45,1113
DSLAM-341	263	13,9716	45,223
DSLAM-342	184	13,5698	45,2848
DSLAM-343	208	14,8443	44,7377
DSLAM-344	284	15,5927	44,738
DSLAM-345	222	15,3147	44,8575
DSLAM-346	155	15,2173	44,2
DSLAM-347	267	15,3601	44,4839
DSLAM-348	362	15,6272	44,3844
DSLAM-349	100	15,7026	44,5787
DSLAM-350	191	15,4939	44,7511
DSLAM-351	53	15,0382	44,8382
DSLAM-352	150	15,4678	44,3161
DSLAM-353	162	15,0268	44,9571
DSLAM-354	65	15,1826	44,5911
DSLAM-355	194	14,9357	44,5471
DSLAM-356	179	14,9057	44,8173
DSLAM-357	189	15,2866	45,0413
DSLAM-358	263	15,0518	44,8408
DSLAM-359	361	15,018	44,6876
DSLAM-360	377	15,8715	44,5698
DSLAM-361	56	15,7394	45,0626
DSLAM-362	255	15,2872	44,9661
DSLAM-363	292	15,6639	44,564
DSLAM-364	188	14,6976	44,529
DSLAM-365	355	14,9682	44,6582
DSLAM-366	124	15,5183	44,6836
DSLAM-367	138	14,7458	45,2309
DSLAM-368	60	14,7708	45,6417
DSLAM-369	282	14,5133	45,6033
DSLAM-370	62	14,6825	44,5277
DSLAM-371	236	14,2129	45,2805
DSLAM-372	241	14,1668	45,0572
DSLAM-373	250	13,6514	45,3632
DSLAM-374	339	13,7787	44,6758
DSLAM-375	322	13,8627	45,0538
DSLAM-376	137	14,065	45,0517
DSLAM-377	68	13,9188	45,1007
DSLAM-378	146	14,197	45,1409
DSLAM-379	121	13,6676	45,2374
DSLAM-380	260	13,6744	45,2016
DSLAM-381	212	13,7191	45,1828
DSLAM-382	240	14,0132	45,1604
DSLAM-383	309	13,6996	45,1845
DSLAM-384	132	13,7854	45,3936
DSLAM-385	247	14,0808	45,1404
DSLAM-386	343	13,5066	45,3004
DSLAM-387	347	13,9617	44,8184
DSLAM-388	240	13,768	45,0866
DSLAM-389	271	13,4525	45,5027
DSLAM-390	182	14,1393	45,0984
DSLAM-391	132	13,5325	45,2966
DSLAM-392	171	14,0331	45,0272
DSLAM-393	271	14,1447	45,1147
DSLAM-394	234	13,672	44,855
DSLAM-395	344	13,7472	45,0649
DSLAM-396	390	13,6363	45,0514
DSLAM-397	227	13,9652	44,9979
DSLAM-398	258	13,8644	45,4222
DSLAM-399	259	13,8813	45,1101
DSLAM-400	333	14,091	45,4305
DSLAM-401	109	13,8512	45,4469
DSLAM-402	261	13,8639	45,2798
DSLAM-403	282	13,8866	45,2118
DSLAM-404	77	14,6473	44,6631
DSLAM-405	86	14,1664	45,3148
DSLAM-406	364	14,4076	45,3677
DSLAM-407	71	14,2248	45,1893
DSLAM-408	349	14,8156	45,3971
DSLAM-409	174	14,7701	44,9763
DSLAM-410	44	14,8751	45,2596
DSLAM-411	233	14,4691	44,897
DSLAM-412	104	14,5452	45,1429
DSLAM-413	96	14,3554	45,2039
DSLAM-414	322	14,3817	45,3878
DSLAM-415	157	14,6911	45,3476
DSLAM-416	378	14,6288	45,0515
DSLAM-417	77	14,3524	45,5728
DSLAM-418	224	14,3869	45,3668
DSLAM-419	96	14,5625	45,2717
DSLAM-420	310	14,697	45,1842
DSLAM-421	288	14,2488	44,7072
DSLAM-422	164	14,3441	45,2304
DSLAM-423	62	14,8081	45,6917
DSLAM-424	205	14,5508	45,5319
DSLAM-425	54	14,2628	44,5407
DSLAM-426	293	13,4373	45,6668
DSLAM-427	351	13,7956	45,3727
DSLAM-428	101	13,8381	45,0711
DSLAM-429	82	13,7439	44,7545
DSLAM-430	47	13,8066	44,984
DSLAM-431	45	13,7183	44,9538
DSLAM-432	224	13,7586	45,0379
DSLAM-433	332	13,3311	45,3294
DSLAM-434	216	13,9634	45,0079
DSLAM-435	370	14,1749	45,4004
DSLAM-436	99	13,5441	44,9738
DSLAM-437	239	14,1779	45,2403
DSLAM-438	191	13,5772	44,7847
DSLAM-439	361	13,9096	44,9352
DSLAM-440	325	13,5857	45,3302
DSLAM-441	220	13,7717	45,3489
DSLAM-442	124	13,9743	45,3836
DSLAM-443	361	13,9798	45,0188
DSLAM-444	262	13,9121	45,2442
DSLAM-445	69	13,8212	45,2291
DSLAM-446	348	14,2997	45,0308
DSLAM-447	74	13,5305	45,2115
DSLAM-448	226	13,5731	45,1684
DSLAM-449	294	14,0236	45,0982
DSLAM-450	228	14,2497	45,3757
DSLAM-451	370	13,6311	45,0969
DSLAM-452	342	13,9106	44,8895
DSLAM-453	346	13,377	45,3993
DSLAM-454	194	14,1075	45,3762
DSLAM-455	95	13,9975	44,8265
DSLAM-456	148	14,1292	45,2961
DSLAM-457	285	14,0444	45,2629
DSLAM-458	71	14,0227	44,8887
DSLAM-459	62	13,7841	44,7407
DSLAM-460	366	14,1759	45,0365
DSLAM-461	360	13,7592	45,1349
DSLAM-462	349	14,3377	45,0185
DSLAM-463	271	14,1583	44,9156
DSLAM-464	297	13,5858	45,2017
DSLAM-465	159	13,8639	45,283
DSLAM-466	307	14,0513	45,2313
DSLAM-467	219	14,9261	44,9695
DSLAM-468	364	14,7883	44,7006
DSLAM-469	319	15,4788	44,6883
DSLAM-470	90	13,6221	45,3354
DSLAM-471	194	13,6796	44,8281
DSLAM-472	77	13,8351	45,2347
DSLAM-473	320	13,9028	45,1031
DSLAM-474	61	13,9721	45,0609
DSLAM-475	243	14,2741	45,1957
DSLAM-476	389	13,8206	45,4888
DSLAM-477	372	13,6532	45,4005
DSLAM-478	371	13,7107	45,2049
DSLAM-479	154	13,9031	44,9505
DSLAM-480	275	13,5445	45,5811
DSLAM-481	333	13,6785	45,3298
DSLAM-482	202	14,0605	45,4601
DSLAM-483	247	14,0106	45,6253
DSLAM-484	323	13,9714	45,166
DSLAM-485	67	14,156	45,3605
DSLAM-486	160	13,8339	45,326
DSLAM-487	255	14,2086	45,1474
DSLAM-488	81	13,8179	45,3662
DSLAM-489	309	13,8001	45,4963
DSLAM-490	238	13,7794	45,4544
DSLAM-491	380	14,2225	45,2557
DSLAM-492	254	13,7901	45,0938
DSLAM-493	60	13,715	45,3381
DSLAM-494	296	14,2614	45,4657
DSLAM-495	128	14,0486	45,3922
DSLAM-496	71	13,9641	45,2355
DSLAM-497	338	13,8202	44,9201
DSLAM-498	317	14,1044	45,0582
DSLAM-499	298	13,7117	45,4143
DSLAM-500	287	14,1009	45,5127
DSLAM-501	173	13,8322	45,1006
DSLAM-502	184	14,1206	44,8908
DSLAM-503	123	13,5839	45,2801
DSLAM-504	51	13,8385	44,9107
DSLAM-505	65	14,1286	45,0037
DSLAM-506	129	13,9108	45,0151
DSLAM-507	150	13,8006	45,355
DSLAM-508	60	13,6889	44,949
DSLAM-509	105	13,9444	45,4227
DSLAM-510	59	13,5347	45,0641
DSLAM-511	278	13,9839	45,3079
DSLAM-512	370	15,2996	44,8422
DSLAM-513	395	15,7346	45,0142
DSLAM-514	62	15,5832	44,6938
DSLAM-515	54	15,6344	44,7919
DSLAM-516	213	14,9489	44,5476
DSLAM-517	330	14,9044	44,6382
DSLAM-518	287	15,038	44,96
DSLAM-519	323	15,1777	45,0132
DSLAM-520	256	15,2939	44,7927
DSLAM-521	203	15,6989	44,9088
DSLAM-522	349	15,3749	44,7543
DSLAM-523	149	14,8621	44,8226
DSLAM-524	326	14,7924	45,0985
DSLAM-525	168	14,9821	45,1444
DSLAM-526	279	15,2652	45,0189
DSLAM-527	160	15,2559	44,5871
DSLAM-528	71	15,3823	44,4872
DSLAM-529	320	15,6497	44,7953
DSLAM-530	245	15,2168	44,9586
DSLAM-531	167	14,9061	44,6403
DSLAM-532	290	15,0844	44,5919
DSLAM-533	207	14,8219	44,8487
DSLAM-534	190	15,4805	44,7937
DSLAM-535	230	14,8357	44,7798
DSLAM-536	173	15,042	44,7288
DSLAM-537	237	15,5502	44,2968
DSLAM-538	116	15,6654	44,6539
DSLAM-539	366	15,7714	44,7659
DSLAM-540	177	15,406	44,8953
DSLAM-541	379	15,1699	44,8461
DSLAM-542	266	15,0094	44,6256
DSLAM-543	260	15,077	44,7052
DSLAM-544	315	14,9798	44,6742
DSLAM-545	389	15,0617	44,8097
DSLAM-546	155	15,0941	45,1107
DSLAM-547	276	15,6602	44,6139
DSLAM-548	383	15,2584	44,9865
DSLAM-549	186	16,8727	45,5173
DSLAM-550	358	16,9246	45,3779
DSLAM-551	285	16,861	45,2136
DSLAM-552	272	16,7379	45,1631
DSLAM-553	233	16,414	45,2939
DSLAM-554	44	16,9309	45,5907
DSLAM-555	129	16,6674	45,3639
DSLAM-556	284	16,2314	45,5114
DSLAM-557	84	16,0243	45,3096
DSLAM-558	143	16,5349	45,4114
DSLAM-559	377	17,0173	45,2995
DSLAM-560	379	16,1169	45,117
DSLAM-561	324	16,6663	45,527
DSLAM-562	154	16,2929	46,607
DSLAM-563	93	16,4923	46,419
DSLAM-564	119	16,4254	46,2917
DSLAM-565	213	16,1539	46,4091
DSLAM-566	139	16,7446	46,5353
DSLAM-567	329	16,5136	46,1886
DSLAM-568	49	16,408	46,4889
DSLAM-569	213	16,3627	46,2094
DSLAM-570	50	16,243	46,5235
DSLAM-571	120	16,3382	46,6345
DSLAM-572	231	16,5739	46,4815
DSLAM-573	296	16,7474	46,4934
DSLAM-574	83	16,7423	46,4351
DSLAM-575	260	16,1877	46,4842
DSLAM-576	263	16,4581	46,6668
DSLAM-577	307	15,2954	45,0073
DSLAM-578	111	15,0707	44,4478
DSLAM-579	353	15,0754	45,0152
DSLAM-580	218	14,9354	44,5322
DSLAM-581	234	15,1984	44,6575
DSLAM-582	394	15,3007	44,9831
DSLAM-583	117	15,6882	44,8415
DSLAM-584	331	15,3092	44,8936
DSLAM-585	64	15,1392	44,8884
DSLAM-586	156	14,9529	44,7046
DSLAM-587	192	14,8121	45,2276
DSLAM-588	76	15,0843	44,9436
DSLAM-589	362	15,1314	44,7374
DSLAM-590	255	15,2104	44,6988
DSLAM-591	318	15,0876	44,9792
DSLAM-592	80	15,4502	44,9491
DSLAM-593	157	15,4016	44,4009
DSLAM-594	301	15,5815	44,5948
DSLAM-595	139	15,3604	44,3544
DSLAM-596	238	15,5435	44,4714
DSLAM-597	184	15,3186	44,8299
DSLAM-598	162	15,5259	45,0301
DSLAM-599	182	15,8395	44,2784
DSLAM-600	230	14,9691	44,7683
DSLAM-601	262	15,2642	44,4688
DSLAM-602	353	14,7429	44,5909
DSLAM-603	180	14,7646	44,6198
DSLAM-604	339	15,1017	44,7363
DSLAM-605	74	14,9549	44,514
DSLAM-606	82	14,7948	44,6514
DSLAM-607	395	15,2839	44,665
DSLAM-608	152	15,9	44,8852
DSLAM-609	210	14,752	44,6195
DSLAM-610	325	14,8928	44,9244
DSLAM-611	143	15,4059	44,9791
DSLAM-612	54	16,1195	46,0954
DSLAM-613	334	16,288	46,2382
DSLAM-614	297	16,4688	46,1201
DSLAM-615	321	16,5861	46,0547
DSLAM-616	272	16,2743	46,4613
DSLAM-617	371	16,3339	46,0251
DSLAM-618	336	16,3447	46,3944
DSLAM-619	275	16,2808	46,3212
DSLAM-620	246	16,0508	46,1527
DSLAM-621	215	16,2201	46,3622
DSLAM-622	270	16,51	45,9944
DSLAM-623	355	16,1586	46,5703
DSLAM-624	198	16,6965	46,202
DSLAM-625	316	16,5621	46,2439
DSLAM-626	76	16,4766	46,1233
DSLAM-627	150	16,9317	46,339
DSLAM-628	253	16,4421	46,3723
DSLAM-629	129	16,4358	46,2384
DSLAM-630	267	16,2862	46,1812
DSLAM-631	146	16,3848	46,3461
DSLAM-632	395	16,4601	46,14
DSLAM-633	61	16,3462	46,3975
DSLAM-634	94	16,4985	45,9923
DSLAM-635	280	16,2377	46,1641
DSLAM-636	82	16,3908	46,1958
DSLAM-637	290	16,4036	45,9504
DSLAM-638	375	16,2345	46,2017
DSLAM-639	87	16,4634	46,288
DSLAM-640	196	16,5432	46,1411
DSLAM-641	166	16,7016	46,1073
DSLAM-642	248	16,5864	46,3628
DSLAM-643	274	16,7283	46,2855
DSLAM-644	135	16,4085	46,5148
DSLAM-645	273	16,5201	46,1475
DSLAM-646	51	16,6349	46,4447
DSLAM-647	41	16,636	46,3233
DSLAM-648	386	16,445	46,1863
DSLAM-649	312	16,4976	46,0578
DSLAM-650	135	16,3751	46,5143
DSLAM-651	62	16,2236	46,4047
DSLAM-652	371	16,3141	46,3692
DSLAM-653	400	16,5138	46,5714
DSLAM-654	221	16,362	46,5659
DSLAM-655	334	16,4698	46,1474
DSLAM-656	246	16,1165	46,1932
DSLAM-657	246	16,2457	46,2531
DSLAM-658	384	16,25	45,8791
DSLAM-659	345	16,7163	46,2119
DSLAM-660	327	16,4321	46,0283
DSLAM-661	77	16,3054	46,1566
DSLAM-662	200	15,7903	46,2237
DSLAM-663	275	16,2502	46,2194
DSLAM-664	213	16,073	46,1334
DSLAM-665	325	16,1694	46,2891
DSLAM-666	327	16,3086	46,0912
DSLAM-667	237	16,6132	46,0865
DSLAM-668	197	16,0953	46,2828
DSLAM-669	176	16,5587	46,0586
DSLAM-670	199	16,6795	46,2768
DSLAM-671	253	16,5574	46,4091
DSLAM-672	109	15,9783	45,8622
DSLAM-673	111	15,7845	46,102
DSLAM-674	149	15,8738	45,8917
DSLAM-675	222	15,9244	46,2673
DSLAM-676	81	15,8894	46,1746
DSLAM-677	352	15,8646	46,2361
DSLAM-678	286	15,7105	46,1301
DSLAM-679	107	15,7929	45,9994
DSLAM-680	210	15,8148	46,1027
DSLAM-681	43	15,8514	46,1935
DSLAM-682	380	16,1341	46,0858
DSLAM-683	362	16,4169	45,5509
DSLAM-684	56	16,2278	45,7213
DSLAM-685	147	16,5138	45,446
DSLAM-686	216	16,0895	45,0935
DSLAM-687	366	16,3657	45,2189
DSLAM-688	179	16,4263	45,3819
DSLAM-689	206	16,3716	45,3077
DSLAM-690	173	16,4182	45,6748
DSLAM-691	381	16,5781	45,3558
DSLAM-692	266	17,1729	45,4509
DSLAM-693	266	16,319	45,9131
DSLAM-694	74	16,6514	46,0579
DSLAM-695	311	17,1276	46,0196
DSLAM-696	66	16,5222	45,9299
DSLAM-697	225	16,8199	46,2334
DSLAM-698	261	17	46,3415
DSLAM-699	185	16,8015	46,0382
DSLAM-700	102	16,8955	46,1848
DSLAM-701	380	16,9569	45,9779
DSLAM-702	377	16,0255	46,2809
DSLAM-703	291	16,0737	46,0232
DSLAM-704	215	15,875	45,8625
